CODI_CICLE_FORMATIU;NOM_CICLE_FORMATIU;CODI_ADAPTACIO_CURRICULAR;HORES_CICLE_FORMATIU;DATA_INICI_CICLE_FORMATIU;DATA_FI_CICLE_FORMATIU;CODI_MODUL;CODI_MODUL_INTERN;NOM_MODUL;HORES_MODUL;DATA_INICI_MODUL;DATA_FI_MODUL;CODI_CREDIT;CODI_CREDIT_INTERN;NOM_CREDIT;HORES_CREDIT;DATA_INICI_CREDIT;DATA_FI_CREDIT
CFPS    1651;Dietètica;00;2000;01/09/96;;MP09;09;Formació i orientació laboral;60;01/09/96;;C09;09;Formació i orientació laboral;60;01/09/96;
CFPS    1651;Dietètica;00;2000;01/09/96;;MP10;10;Formació en centres de treball;410;01/09/96;;C10;10;Formació en centres de treball;410;01/09/96;
CFPS    1651;Dietètica;00;2000;01/09/96;;;;;;;;C11;11;Síntesi;60;01/09/96;
CFPS    1655;Salut ambiental;00;2000;01/09/96;;MP01;01;Organització i gestió de la unitat de salut ambiental;90;01/09/96;;C01;01;Organització i gestió de la unitat de salut ambiental;90;01/09/96;
CFPS    1655;Salut ambiental;00;2000;01/09/96;;MP02;02;Aigües d'ús i consum;300;01/09/96;;C02;02;Aigües d'ús i consum;300;01/09/96;
CFPS    1655;Salut ambiental;00;2000;01/09/96;;MP03;03;Contaminació atmosfèrica, sorolls i radiacions;180;01/09/96;;C03;03;Contaminació atmosfèrica, sorolls i radiacions;180;01/09/96;
CFPS    1655;Salut ambiental;00;2000;01/09/96;;MP04;04;Productes químics i vectors d'interès en salut pública;210;01/09/96;;C04;04;Productes químics i vectors d'interès en salut pública;210;01/09/96;
CFPS    1655;Salut ambiental;00;2000;01/09/96;;MP05;05;Residus sòlids i medi construït;120;01/09/96;;C05;05;Residus sòlids i medi construït;120;01/09/96;
CFPS    1655;Salut ambiental;00;2000;01/09/96;;MP06;06;Control i vigilància de la contaminació d'aliments;270;01/09/96;;C06;06;Control i vigilància de la contaminació d'aliments;270;01/09/96;
CFPS    1655;Salut ambiental;00;2000;01/09/96;;MP07;07;Educació sanitària i promoció de la salut;90;01/09/96;;C07;07;Educació sanitària i promoció de la salut;90;01/09/96;
CFPS    1655;Salut ambiental;00;2000;01/09/96;;MP08;08;Formació i orientació laboral;60;01/09/96;;C09;09;Formació i orientació laboral;60;01/09/96;
CFPS    1655;Salut ambiental;00;2000;01/09/96;;MP09;09;Formació en centres de treball;410;01/09/96;;C10;10;Formació en centres de treball;410;01/09/96;
CFPS    1655;Salut ambiental;00;2000;01/09/96;;;;;;;;C08;08;Anatomofisiologia i patologia bàsica;60;01/09/96;
CFPS    1655;Salut ambiental;00;2000;01/09/96;;;;;;;;C11;11;Síntesi;60;01/09/96;
CFPS    1954;Prevenció de riscos professionals;00;2000;01/09/96;;MP01;01;Gestió de la prevenció;260;01/09/96;;C01;01;Gestió de la prevenció;260;01/09/96;
CFPS    1954;Prevenció de riscos professionals;00;2000;01/09/96;;MP02;02;Riscos derivats de les condicions de seguretat;240;01/09/96;;C02;02;Riscos derivats de les condicions de seguretat;240;01/09/96;
CFPS    1954;Prevenció de riscos professionals;00;2000;01/09/96;;MP03;03;Riscos físics ambientals;200;01/09/96;;C03;03;Riscos físics ambientals;200;01/09/96;
CFPS    1954;Prevenció de riscos professionals;00;2000;01/09/96;;MP04;04;Riscos químics i biològics ambientals;200;01/09/96;;C04;04;Riscos químics i biològics ambientals;200;01/09/96;
CFPS    1954;Prevenció de riscos professionals;00;2000;01/09/96;;MP05;05;Prevenció de riscos derivats de l'organització i la càrrega de treball;230;01/09/96;;C05;05;Prevenció de riscos derivats de l'organització i la càrrega de treball;230;01/09/96;
CFPS    1954;Prevenció de riscos professionals;00;2000;01/09/96;;MP06;06;Emergències;140;01/09/96;;C06;06;Emergències;140;01/09/96;
CFPS    1954;Prevenció de riscos professionals;00;2000;01/09/96;;MP07;07;Relacions en l'àmbit de treball;60;01/09/96;;C07;07;Relacions en l'àmbit de treball;60;01/09/96;
CFPS    1954;Prevenció de riscos professionals;00;2000;01/09/96;;MP08;08;Formació i orientació laboral;60;01/09/96;;C08;08;Formació i orientació laboral;60;01/09/96;
CFPS    1954;Prevenció de riscos professionals;00;2000;01/09/96;;MP09;09;Formació en centres de treball;390;01/09/96;;C09;09;Formació en centres de treball;390;01/09/96;
CFPS    1954;Prevenció de riscos professionals;00;2000;01/09/96;;;;;;;;C10;10;Síntesi;60;01/09/96;
